time_ms,target_vx,target_vy,target_vr,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,odom_vx,odom_vy
2453694,0,0,0,0,0,0,0,0,0,0,0,0,0
2453704,0,0,0,0,0,0,0,0,0,0,0,0,0
2453714,0,0,0,0,0,0,0,0,0,0,0,0,0
2453724,0,0,0,0,0,0,0,0,0,0,0,0,0
2453734,0,0,0,0,0,0,0,0,0,0,0,0,0
2453744,0,0,0,0,0,0,0,0,0,0,0,0,0
2453754,0,0,0,0,0,0,0,0,0,0,0,0,0
2453764,0,0,0,0,0,0,0,0,0,0,0,0,0
2453774,0,0,0,0,0,0,0,0,0,0,0,0,0
2453784,0,0,0,0,0,0,0,0,0,0,0,0,0
2453794,0,0,0,0,0,0,0,0,0,0,0,0,0
2453804,0,0,0,0,0,0,0,0,0,0,0,0,0
2453814,0,0,0,0,0,0,0,0,0,0,0,0,0
2453824,0,0,0,0,0,0,0,0,0,0,0,0,0
2453835,0,0,0,0,0,0,0,0,0,0,0,0,0
2453844,0,0,0,0,0,0,0,0,0,0,0,0,0
2453854,0,0,0,0,0,0,0,0,0,0,0,0,0
2453864,0,0,0,0,0,0,0,0,0,0,0,0,0
2453874,0,0,0,0,0,0,0,0,0,0,0,0,0
2453884,0,0,0,0,0,0,0,0,0,0,0,0,0
2453894,0,0,0,0,0,0,0,0,0,0,0,0,0
2453904,0,0,0,0,0,0,0,0,0,0,0,0,0
2453914,0,0,0,0,0,0,0,0,0,0,0,0,0
2453924,0,0,0,0,0,0,0,0,0,0,0,0,0
2453934,0,0,0,0,0,0,0,0,0,0,0,0,0
2453944,0,0,0,0,0,0,0,0,0,0,0,0,0
2453954,0,0,0,0,0,0,0,0,0,0,0,0,0
2453964,0,0,0,0,0,0,0,0,0,0,0,0,0
2453974,0,0,0,0,0,0,0,0,0,0,0,0,0
2453984,0,0,0,0,0,0,0,0,0,0,0,0,0
2453994,0,0,0,0,0,0,0,0,0,0,0,0,0
2454004,0,0,0,0,0,0,0,0,0,0,0,0,0
2454014,0,0,0,0,0,0,0,0,0,0,0,0,0
2454024,0,0,0,0,0,0,0,0,0,0,0,0,0
2454034,0,0,0,0,0,0,0,0,0,0,0,0,0
2454044,0,0,0,0,0,0,0,0,0,0,0,0,0
2454054,0,0,0,0,0,0,0,0,0,0,0,0,0
2454064,0,0,0,0,0,0,0,0,0,0,0,0,0
2454074,0,0,0,0,0,0,0,0,0,0,0,0,0
2454084,0,0,0,0,0,0,0,0,0,0,0,0,0
2454094,0,0,0,0,0,0,0,0,0,0,0,0,0
2454104,0,0,0,0,0,0,0,0,0,0,0,0,0
2454114,0,0,0,0,0,0,0,0,0,0,0,0,0
2454124,0,0,0,0,0,0,0,0,0,0,0,0,0
2454134,0,0,0,0,0,0,0,0,0,0,0,0,0
2454144,0,0,0,0,0,0,0,0,0,0,0,0,0
2454154,0,0,0,0,0,0,0,0,0,0,0,0,0
2454164,0,0,0,0,0,0,0,0,0,0,0,0,0
2454174,0,0,0,0,0,0,0,0,0,0,0,0,0
2454184,0,0,0,0,0,0,0,0,0,0,0,0,0
2454194,0,0,0,0,0,0,0,0,0,0,0,0,0
2454204,0,0,0,0,0,0,0,0,0,0,0,0,0
2454214,0,0,0,0,0,0,0,0,0,0,0,0,0
