time_ms,target_vx,target_vy,target_vr,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,raw_vision_vel_x,raw_vision_vel_y,vision_source,odom_vx,odom_vy
12118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
