time_ms,target_vx,target_vy,target_vr,planned_vx,planned_vy,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,raw_vision_vel_x,raw_vision_vel_y,vision_source,odom_vx,odom_vy
1409606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1409797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1409946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
