time_ms,target_vx,target_vy,target_vr,planned_vx,planned_vy,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,raw_vision_vel_x,raw_vision_vel_y,vision_source,odom_vx,odom_vy
826512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826532,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826542,0,0,0,0,0,0,0,0.001,-0.002,0,0,0,0,0,0,0,0,0
826552,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
826561,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
826571,0,0,0,0,0,0,0,0,0.001,0,-0.001,0,0,0,0,0,0,0
826581,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826592,0,0,0,0,0,0,0,0.001,-0.001,0,0,0,0,0,0,0,0,0
826602,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826612,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
826622,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826632,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0,0,0
826642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826662,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826672,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826682,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0
826692,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0,0,0,0
826702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826722,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,2,0,0
826731,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,2,0,0
826742,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,2,0,0
826751,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,2,0,0
826762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826771,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,2,0,0
826781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
826991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
827001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
827012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
827022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
827032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
827042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
