axis,signal,MAE_vs_target,RMSE_vs_target,max_abs_error
vx,planned_vx,0.6730035457124155,1.5833770090997497,8.0
vx,optflow_kf_vx,1.4435352934758892,2.319872895178053,8.042
vx,wheel_chassis_vx,0.9233126227361991,1.6897488866595742,8.0
vx,fused_chassis_vx,1.1266411739035567,1.9572572133342692,8.0
vx,optflow_body_vx,1.4307874209033384,2.307844048369136,8.007
vx,raw_vision_vx,1.7430722234344316,3.064404323831482,8.0
vy,planned_vy,0.18128180231289548,0.7509007184291258,8.0
vy,optflow_kf_vy,0.52204576696487,1.2351722868366668,7.104
vy,wheel_chassis_vy,0.4228475343661357,0.8616424611163285,5.0
vy,fused_chassis_vy,0.45234049749072663,1.0885206541395192,6.271
vy,optflow_body_vy,0.5159787257255072,1.2280779492716394,7.068
vy,raw_vision_vy,0.5288020946977962,1.461633864700843,8.0
